Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Stevie	06.06.2017	2017	June	June_17	Inlet	HMW		1		-0.87	-0.00000087	-0.01044				-0.000740741	-8						14.094	4.86	17.69	17.8	3.32	0.044			0.937		0.225	0.123	0.01	6.6482191	8.727117923	7.617886179	4.164444444	0		0.235561232	0.003121896	
Stevie	06.06.2017	2017	June	June_17	Inlet	HMW		2		-0.52	-0.00000052	-0.00624				-0.000442742	-5						14.094	4.86	17.69	17.8	3.32	0.044																
Stevie	06.06.2017	2017	June	June_17	Inlet	HMW		3		-0.46	-0.00000046	-0.00552				-0.000391656	-4						14.094	4.86	17.69	17.8	3.32	0.044																
Stevie		2017	June	June_17	Outlet	Bulk		1		-0.6	-0.0000006	-0.0072				-0.000757895	-5						9.5	5.51	9.38	17.3					0.452		0.107	0.062	0.015	4.762908325	6.533192835	7.290322581	4.224299065	0				
Stevie		2017	June	June_17	Outlet	Bulk		2		-0.34	-0.00000034	-0.00408				-0.000429474	-3						9.5	5.51	9.38	17.3																		
Stevie		2017	June	June_17	Outlet	Bulk		3		-0.35	-0.00000035	-0.0042				-0.000442105	-3						9.5	5.51	9.38	17.3																		
Stevie	06.06.2017	2017	June	June_17	Outlet	LMW		1		-0.19	-0.00000019	-0.00228				-0.000357984	-2						6.369	5.64	8.21	16.8	1.08	0.025			0.301		0.064	0.034	0.003	4.726016643	5.33835767	8.852941176	4.703125	0		0.169571361	0.003925263	
Stevie	06.06.2017	2017	June	June_17	Outlet	LMW		2		-0.17	-0.00000017	-0.00204				-0.000320301	-1						6.369	5.64	8.21	16.8	1.08	0.025																
Stevie	06.06.2017	2017	June	June_17	Outlet	LMW		3		-0.16	-0.00000016	-0.00192				-0.00030146	-1						6.369	5.64	8.21	16.8	1.08	0.025																
Stevie	06.06.2017	2017	June	June_17	Outlet	HMW		1		-0.71	-0.00000071	-0.00852				-0.000823746	-6						10.343	5.45	11.39	17.4	2.47	0.058			0.525		0.119	0.066	0.006	5.075896742	6.381127332	7.954545455	4.411764706	0		0.238808856	0.005607657	
Stevie	06.06.2017	2017	June	June_17	Outlet	HMW		2		-0.73	-0.00000073	-0.00876				-0.00084695	-6						10.343	5.45	11.39	17.4	2.47	0.058																
Stevie	06.06.2017	2017	June	June_17	Outlet	HMW		3		-0.71	-0.00000071	-0.00852				-0.000823746	-6						10.343	5.45	11.39	17.4	2.47	0.058																
Eline		2018	May	May_18	Inlet	Bulk	Inlet Bulk	1		-0.61	-0.00000061	-0.00732	-0.00572			-0.000641543	-5	-0.000501	0.000132		-26		11.41	4.36	12.06	20	3				0.561	0.410666667	0.128	0.079	0.001	4.916739702	6.923751096	7.101265823	4.3828125	3.599182007	0.732023	0.262927257		3.599182004
