Station.ID	Station.Code	Station	Date	TOC_m	THg_m	MeHg_m	X254nm	X285nm	X365nm	X400nm	THg_s	MeHg_s	DOC_s	X254nm_s	X285nm_s	X365nm_s	X400nm_s	labile_m	labile_s	sUVa_m	sUVa_s	sVISa_m	sVISa_s	SAR_m	E2_E3_m	E2_E3_s	THGTOC_m	THGDOC_s	MeHGTOC_m	MeHGDOC_s	MeHg_rel_m
108	LAE01	Outlet	21.05.2017	10.1	NA	NA	0.484384	0.350408	0.1153644	0.06532	NA	NA	NA	NA	NA	NA	NA	3.469386	NA	4.795881	NA	6.467327	NA	7415.554	4.19873	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	28.05.2017	10	3.516298	0.06640107	0.448908	0.318832	0.1022004	0.05726	NA	NA	NA	NA	NA	NA	NA	3.18832	NA	4.48908	NA	5.726	NA	7839.818	4.392429	NA	0.3516298	NA	0.006640107	NA	1.8883801
108	LAE01	Outlet	04.06.2017	10.1	NA	NA	0.431292	0.305584	0.0965204	0.053564	NA	NA	NA	NA	NA	NA	NA	3.025584	NA	4.270218	NA	5.303366	NA	8051.901	4.468403	NA	NA	NA	NA	NA	NA
NA		Outlet	06.06.2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.26	0.452	NA	0.107	0.062	NA	NA	NA	5.472155	NA	7.506053	NA	NA	4.224299	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.06.2017	11.8	NA	NA	0.5216	0.37486	0.118712	0.065044	NA	NA	NA	NA	NA	NA	NA	3.17678	NA	4.420339	NA	5.512203	NA	8019.187	4.393827	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	18.06.2017	12.1	NA	NA	0.540184	0.389568	0.125224	0.069684	NA	NA	NA	NA	NA	NA	NA	3.21957	NA	4.464331	NA	5.759008	NA	7751.909	4.313742	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.06.2017	11.8	4.206796	0.05783514	0.539452	0.385804	0.122668	0.06842	NA	NA	NA	NA	NA	NA	NA	3.269525	NA	4.571627	NA	5.798305	NA	7884.42	4.397659	NA	0.3565081	NA	0.004901283	NA	1.3748028
108	LAE01	Outlet	02.07.2017	11.5	NA	NA	0.518024	0.367768	0.115888	0.064172	NA	NA	NA	NA	NA	NA	NA	3.197983	NA	4.504557	NA	5.580174	NA	8072.43	4.47004	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	10.07.2017	11.6	NA	NA	0.520504	0.368648	0.116444	0.065036	NA	NA	NA	NA	NA	NA	NA	3.178	NA	4.487103	NA	5.606552	NA	8003.321	4.469994	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	16.07.2017	10.9	NA	NA	0.446652	0.317656	0.101192	0.057052	NA	NA	NA	NA	NA	NA	NA	2.914275	NA	4.097725	NA	5.234128	NA	7828.858	4.413906	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	24.07.2017	10.4	NA	NA	0.418832	0.29592	0.09372	0.05236	NA	NA	NA	NA	NA	NA	NA	2.845385	NA	4.027231	NA	5.034615	NA	7999.083	4.468971	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	30.07.2017	10.8	3.535249	0.07045421	0.459396	0.3256556	0.105276	0.060592	NA	NA	NA	NA	NA	NA	NA	3.01533	NA	4.253667	NA	5.61037	NA	7581.793	4.36373	NA	0.3273379	NA	0.006523538	NA	1.9929063
108	LAE01	Outlet	05.08.2017	11.4	NA	NA	0.440532	0.3107	0.098258	0.05388	NA	NA	NA	NA	NA	NA	NA	2.725439	NA	3.864316	NA	4.726316	NA	8176.169	4.483421	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	14.08.2017	15.1	NA	NA	0.632256	0.450116	0.14406	0.080168	NA	NA	NA	NA	NA	NA	NA	2.980901	NA	4.187126	NA	5.309139	NA	7886.638	4.388838	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	20.08.2017	15.4	NA	NA	0.660248	0.474492	0.153512	0.085768	NA	NA	NA	NA	NA	NA	NA	3.081117	NA	4.287325	NA	5.569351	NA	7698.069	4.300954	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	26.08.2017	15.3	4.518225	0.05343699	0.646804	0.461344	0.14846	0.082784	NA	NA	NA	NA	NA	NA	NA	3.01532	NA	4.227477	NA	5.410719	NA	7813.152	4.356756	NA	0.2953088	NA	0.003492614	NA	1.1826986
108	LAE01	Outlet	03.09.2017	14.8	NA	NA	0.628784	0.44904	0.145448	0.081876	NA	NA	NA	NA	NA	NA	NA	3.034054	NA	4.248541	NA	5.532162	NA	7679.711	4.323085	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	10.09.2017	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	16.09.2017	15.2	NA	NA	0.663496	0.476464	0.153016	0.084864	NA	NA	NA	NA	NA	NA	NA	3.134632	NA	4.365105	NA	5.583158	NA	7818.345	4.336122	NA	NA	NA	NA	NA	NA
NA		Outlet	22.09.2017	NA	NA	NA	NA	NA	NA	NA	3.86	0.059	16.91	0.681	NA	0.157	0.087	NA	NA	NA	4.027203	NA	5.144885	NA	NA	4.33758	NA	0.2282673	NA	0.00348906	NA
108	LAE01	Outlet	24.09.2017	14.7	4.50964	0.06044691	0.650224	0.469376	0.152028	0.084756	NA	NA	NA	NA	NA	NA	NA	3.193034	NA	4.423293	NA	5.765714	NA	7671.716	4.277002	NA	0.3067782	NA	0.004112034	NA	1.3403932
108	LAE01	Outlet	01.10.2017	15.3	NA	NA	0.649148	0.471368	0.153608	0.08546	NA	NA	NA	NA	NA	NA	NA	3.080837	NA	4.242797	NA	5.585621	NA	7595.928	4.226004	NA	NA	NA	NA	NA	NA
